Flight_ID,Time_s,Nf1,Nf2,Ng1,Ng2,T451,TGT452,Q1,Q2,dalpha,dbeta,Exceedance_Flag,DGCA_Compliance
Flight_01,0,100.8,100.8,94.0,94.5,735.81,744.3,0.0,14.22,38.24,27.26,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,1,100.8,100.8,94.0,94.5,707.09,710.57,0.0,11.99,38.73,27.18,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,2,100.8,100.8,94.0,94.5,696.02,705.49,0.0,11.96,39.0,26.95,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,3,100.8,100.8,94.0,94.5,706.82,724.24,0.0,9.08,37.18,23.5,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,4,100.8,100.8,94.0,94.5,704.61,717.78,0.0,11.27,38.67,25.22,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,5,100.8,100.8,94.0,94.5,704.34,716.5,0.0,9.89,39.19,25.56,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,6,100.8,100.8,94.0,94.5,703.8,717.04,0.0,13.61,40.48,27.61,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,7,100.8,100.8,94.0,94.5,683.99,698.45,0.0,12.51,41.22,28.17,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,8,100.8,100.8,94.0,94.5,675.0,689.75,0.83,14.34,39.7,25.74,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,9,100.8,100.8,94.0,94.5,642.9,657.4,0.43,13.24,40.02,26.64,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,10,100.8,100.8,94.0,94.5,651.95,658.21,0.86,12.94,40.61,27.68,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,11,100.8,100.8,93.23,94.5,671.14,676.27,2.24,14.42,38.14,23.91,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,12,100.8,100.8,93.59,94.5,704.93,720.57,0.0,10.29,38.03,23.76,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,13,100.8,100.59,91.59,94.5,688.1,695.8,0.0,10.58,38.76,24.91,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,14,100.8,97.4,89.06,94.5,648.96,651.73,0.0,11.14,38.89,24.94,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,15,100.8,95.35,87.43,92.59,663.78,672.1,1.01,12.54,38.81,23.91,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,16,100.8,94.19,86.57,91.31,650.29,660.58,0.06,12.2,39.08,24.28,NORMAL,COMPLIANT
Flight_01,17,100.8,97.4,89.33,94.15,671.94,679.65,0.0,11.47,37.22,21.66,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,18,100.8,94.81,87.02,91.71,714.25,726.07,0.86,13.19,38.23,22.63,TGT452 CAUTION; T451 CAUTION,REVIEW RECOMMENDED
Flight_01,19,100.8,95.9,87.58,92.84,682.67,694.93,2.5,14.73,39.05,24.17,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,20,100.8,100.8,93.3,94.5,708.19,723.64,2.99,13.96,38.41,23.81,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,21,100.8,100.8,94.0,94.5,700.26,712.71,8.53,19.9,38.19,24.24,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,22,100.8,100.8,94.0,94.5,717.61,729.99,9.01,20.69,37.36,23.68,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,23,100.8,100.8,94.0,94.5,729.02,738.15,6.25,17.81,36.18,22.35,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,24,100.8,100.8,94.0,94.5,730.97,740.84,8.65,20.45,38.21,25.14,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,25,100.8,100.8,94.0,94.5,768.1,784.91,5.88,17.14,39.15,27.57,TGT452 EXCEEDANCE; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,NON-COMPLIANT — Report Required
Flight_01,26,100.8,100.8,94.0,94.5,749.26,761.89,4.25,15.9,40.99,30.28,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,27,100.8,100.8,94.0,94.5,745.38,750.15,4.91,16.68,40.83,30.22,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,28,100.8,100.8,94.0,94.5,752.12,761.56,2.4,14.01,39.68,28.26,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,29,100.8,100.8,94.0,94.5,757.31,769.41,5.71,17.25,40.37,28.96,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,30,100.8,100.8,94.0,94.5,733.95,746.03,4.96,16.76,38.92,26.33,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,31,100.8,100.8,94.0,94.5,753.55,773.6,5.4,17.63,37.44,24.08,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,32,100.8,100.8,94.0,94.5,740.33,766.85,8.12,20.17,39.37,26.69,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,33,100.8,100.8,94.0,94.5,726.32,736.25,7.58,20.3,39.44,27.33,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,34,100.8,100.8,94.0,94.5,706.9,714.56,7.64,20.63,39.41,27.69,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,35,100.8,100.8,94.0,94.5,707.68,713.58,9.63,22.82,39.95,27.94,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,36,100.8,100.8,94.0,94.5,713.31,713.06,8.36,20.62,39.82,28.11,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,37,100.8,100.8,94.0,94.5,694.78,694.85,8.08,20.41,39.13,26.91,T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,38,100.8,100.8,94.0,94.5,683.91,682.1,7.82,21.08,37.91,25.61,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,39,100.8,100.8,94.0,94.5,698.74,699.39,10.67,23.6,39.2,27.04,T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,40,100.8,100.8,94.0,94.5,686.08,685.6,12.99,25.32,39.48,27.15,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,41,100.8,100.8,94.0,94.5,680.89,680.38,11.7,25.06,38.87,26.11,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,42,100.8,100.8,94.0,94.5,692.11,692.42,10.5,24.62,37.3,24.22,T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,43,100.8,100.8,94.0,94.5,712.63,711.24,14.51,28.24,38.17,25.62,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,44,100.8,100.8,94.0,94.5,702.99,699.01,14.92,28.99,38.4,25.52,T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,45,100.8,100.8,94.0,94.5,709.06,706.39,14.76,28.56,37.73,24.66,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,46,100.8,100.8,94.0,94.5,719.69,717.35,14.27,27.7,39.76,27.57,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,47,100.8,100.8,94.0,94.5,714.85,706.59,11.27,25.69,39.44,27.4,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,48,100.8,100.8,94.0,94.5,688.94,683.68,11.16,25.46,38.36,25.27,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,49,100.8,100.8,94.0,94.5,700.09,698.83,12.05,26.35,40.96,29.71,T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,50,100.8,100.8,94.0,94.5,712.78,718.91,12.22,26.14,41.67,31.16,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,51,100.8,100.8,89.12,94.5,682.33,684.08,14.82,29.59,41.85,31.22,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,52,100.8,100.8,90.93,94.5,706.02,705.91,14.85,29.83,43.48,33.56,TGT452 CAUTION; T451 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,53,100.8,100.8,93.5,94.5,732.62,735.18,12.62,27.34,42.54,32.4,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,54,100.8,100.8,93.37,94.5,717.27,717.13,13.7,27.4,42.91,32.64,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,55,100.8,100.8,90.11,94.5,700.34,703.79,12.06,26.24,41.38,29.89,TGT452 CAUTION; T451 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,56,100.8,100.8,87.41,94.29,718.38,722.21,13.52,27.04,40.88,28.69,TGT452 CAUTION; T451 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,57,100.8,100.8,89.42,94.5,705.65,705.73,17.2,30.43,41.81,30.02,TGT452 CAUTION; T451 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,58,100.8,100.8,92.12,94.5,690.0,696.03,16.45,28.87,41.11,29.06,T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,59,100.8,100.8,93.14,94.5,680.54,685.22,15.62,27.92,41.61,29.33,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,60,100.8,100.8,94.0,94.5,701.12,710.66,13.55,26.01,40.9,27.85,TGT452 CAUTION; T451 CAUTION; Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,61,100.8,100.8,94.0,94.5,687.86,694.67,13.65,26.01,40.99,27.2,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,62,100.8,100.8,94.0,94.5,646.71,644.68,12.79,25.32,42.94,30.01,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,63,100.8,100.8,94.0,94.5,664.51,668.41,10.51,22.51,43.76,31.45,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,64,100.8,100.8,93.15,94.5,670.8,673.32,9.17,20.66,42.99,31.01,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,65,100.8,100.8,93.79,94.5,659.75,667.17,7.52,18.71,42.89,30.67,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,66,100.8,100.8,90.66,94.5,690.59,702.01,9.33,19.35,42.38,30.23,TGT452 CAUTION; T451 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,67,100.8,100.8,92.7,94.5,675.53,688.81,6.98,16.9,43.68,32.12,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,68,100.8,100.8,91.08,94.5,659.66,669.39,9.43,20.23,42.97,31.22,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,69,100.8,100.8,87.6,91.92,644.83,643.69,9.82,20.47,42.79,30.9,NORMAL,COMPLIANT
Flight_01,70,100.8,100.8,89.88,94.13,645.48,641.75,9.27,19.69,42.58,31.2,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,71,100.8,100.8,90.95,94.5,638.33,633.13,9.71,20.04,43.45,32.48,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,72,100.8,100.8,88.5,93.2,606.36,599.04,10.58,21.13,44.62,34.0,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,73,100.8,100.8,90.2,94.5,623.57,622.66,12.23,22.16,45.78,35.71,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,74,100.8,100.8,92.46,94.5,651.5,652.73,13.12,23.76,46.05,36.01,Ng1 CAUTION; Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,75,100.8,100.8,89.4,92.5,648.09,650.24,14.44,26.43,47.08,37.28,Ng2 CAUTION,REVIEW RECOMMENDED
Flight_01,76,100.8,100.8,87.64,91.75,617.25,616.73,11.85,24.19,47.02,37.99,NORMAL,COMPLIANT
Flight_01,77,100.8,100.8,84.37,88.32,642.9,645.08,10.27,22.69,45.57,36.27,NORMAL,COMPLIANT
Flight_01,78,100.8,100.8,84.61,87.94,623.77,621.7,12.35,24.37,45.09,35.38,NORMAL,COMPLIANT
Flight_01,79,100.8,100.8,83.59,86.56,617.36,615.1,13.8,25.39,46.5,37.58,NORMAL,COMPLIANT
Flight_01,80,100.8,100.8,84.92,87.39,626.67,624.9,11.84,24.21,45.31,36.4,NORMAL,COMPLIANT
Flight_01,81,100.8,100.8,84.11,85.76,642.75,631.75,12.46,24.82,43.47,33.9,NORMAL,COMPLIANT
Flight_01,82,100.8,100.8,84.77,86.41,652.89,650.41,11.94,24.15,43.36,33.09,NORMAL,COMPLIANT
Flight_01,83,100.8,100.8,84.86,84.91,659.44,654.4,12.95,24.47,43.23,32.95,NORMAL,COMPLIANT
Flight_01,84,100.8,100.8,83.82,82.75,660.33,656.09,10.73,21.86,43.41,33.58,NORMAL,COMPLIANT
Flight_01,85,100.8,100.8,83.07,81.99,677.21,674.82,10.3,21.43,43.86,34.1,NORMAL,COMPLIANT
Flight_01,86,100.8,100.8,86.13,86.57,693.09,701.13,11.17,23.01,45.54,35.29,TGT452 CAUTION; T451 CAUTION,REVIEW RECOMMENDED
Flight_01,87,100.8,100.8,82.91,85.0,673.72,690.66,11.11,24.33,45.76,35.69,NORMAL,COMPLIANT
Flight_01,88,100.8,100.8,83.95,86.2,662.37,673.13,12.78,25.49,44.05,32.78,NORMAL,COMPLIANT
Flight_01,89,100.8,100.8,81.73,83.34,670.65,677.69,13.46,26.0,43.2,31.43,NORMAL,COMPLIANT
Flight_01,90,100.8,100.8,86.6,90.82,652.44,658.12,17.42,29.33,42.98,31.58,NORMAL,COMPLIANT
Flight_01,91,100.8,100.8,86.44,91.96,630.33,637.69,17.76,28.94,43.15,31.87,NORMAL,COMPLIANT
Flight_01,92,100.8,100.8,81.11,87.49,657.33,670.02,16.47,28.36,42.44,30.13,NORMAL,COMPLIANT
Flight_01,93,100.8,100.8,82.92,89.61,656.31,659.88,19.56,31.42,41.95,29.24,NORMAL,COMPLIANT
Flight_01,94,100.8,100.8,82.59,89.12,652.74,654.55,19.54,31.89,41.25,28.0,NORMAL,COMPLIANT
Flight_01,95,100.8,100.8,84.82,90.77,660.61,657.97,15.63,28.81,40.66,27.56,NORMAL,COMPLIANT
Flight_01,96,100.8,100.8,82.76,88.02,662.64,661.08,17.87,29.99,41.05,28.47,NORMAL,COMPLIANT
Flight_01,97,100.8,100.39,78.97,83.12,664.48,663.27,17.11,29.2,41.38,28.29,NORMAL,COMPLIANT
Flight_01,98,97.27,96.85,76.29,79.66,638.82,643.27,14.77,28.09,41.04,28.56,NORMAL,COMPLIANT
Flight_01,99,96.71,97.37,75.72,78.83,635.19,654.01,13.15,25.75,40.49,28.38,NORMAL,COMPLIANT
Flight_01,100,94.94,96.68,75.15,78.13,652.93,683.15,10.23,22.86,39.73,27.11,NORMAL,COMPLIANT
Flight_01,101,98.07,100.2,77.1,81.34,653.71,672.04,13.63,26.32,38.56,25.73,NORMAL,COMPLIANT
Flight_01,102,99.34,100.8,77.79,83.0,635.06,657.02,14.42,26.31,38.31,25.19,NORMAL,COMPLIANT
Flight_01,103,96.15,97.29,75.42,79.55,659.86,686.68,13.25,25.76,35.66,21.73,NORMAL,COMPLIANT
Flight_01,104,100.8,100.8,80.06,85.82,661.23,683.79,14.17,25.85,35.75,21.25,NORMAL,COMPLIANT
Flight_01,105,95.21,98.48,73.82,78.73,668.16,683.39,16.14,27.51,35.61,20.85,NORMAL,COMPLIANT
Flight_01,106,91.87,94.12,71.5,76.38,688.37,707.76,17.92,29.1,37.02,22.14,TGT452 CAUTION,REVIEW RECOMMENDED
Flight_01,107,88.95,90.63,68.7,74.72,671.59,697.17,18.1,29.34,37.32,23.18,NORMAL,COMPLIANT
Flight_01,108,89.17,90.87,67.8,74.74,666.91,698.55,17.97,28.8,36.89,23.21,NORMAL,COMPLIANT
Flight_01,109,88.53,89.16,66.84,74.06,652.57,683.88,18.7,31.03,36.85,23.47,NORMAL,COMPLIANT
Flight_01,110,91.11,91.74,69.66,77.89,649.19,692.14,18.98,31.41,38.49,25.2,NORMAL,COMPLIANT
Flight_01,111,89.01,91.72,69.7,78.15,629.16,664.88,21.53,33.32,38.05,23.56,NORMAL,COMPLIANT
Flight_01,112,86.55,89.5,68.07,76.63,614.18,647.6,20.67,33.12,38.6,23.99,NORMAL,COMPLIANT
Flight_01,113,86.68,89.35,67.66,77.29,614.61,643.03,23.87,37.13,39.39,25.83,NORMAL,COMPLIANT
Flight_01,114,84.23,88.29,65.97,76.36,608.1,641.5,23.04,36.36,40.33,27.67,NORMAL,COMPLIANT
Flight_01,115,87.21,90.18,67.5,79.07,589.05,626.58,22.2,34.43,38.72,24.83,NORMAL,COMPLIANT
Flight_01,116,82.99,86.84,63.63,73.91,564.13,603.29,23.16,35.89,38.57,24.83,NORMAL,COMPLIANT
Flight_01,117,76.15,79.3,57.59,68.31,579.78,613.6,21.86,34.62,38.53,24.0,NORMAL,COMPLIANT
Flight_01,118,80.23,83.64,61.48,73.31,558.26,591.88,20.48,33.81,37.23,21.95,NORMAL,COMPLIANT
Flight_01,119,75.57,78.73,57.37,68.17,542.44,579.44,22.57,35.65,38.39,24.57,NORMAL,COMPLIANT
Flight_01,120,77.51,82.0,60.08,70.83,537.35,568.74,25.68,37.06,37.04,22.51,NORMAL,COMPLIANT
